180 Sq Ft Commercial Shop Waiting To Be Rented In Dhanmondi,25 Thousand,"Dhanmondi, Dhaka",,,180 sqft,Shop,For Rent,4 September 2023,https://www.bproperty.com//en/property/details-5599698.html
350 Sq Ft shop Is Available to Rent in Panthapath,3.5 Lakh,"Tejturi Bazar, Tejgaon, Dhaka",,,350 sqft,Shop,For Rent,13 July 2020,https://www.bproperty.com//en/property/details-2031008.html
"100 Sq Ft Shop Arena For Atm Spacing Purposes, Is For Rent In 7 No. West Sholoshohor Ward",25 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,100 sqft,Shop,For Rent,23 February 2023,https://www.bproperty.com//en/property/details-5556468.html
182 Sq Feet Shop For Rent In Uttar Badda,12 Thousand,"Uttar Badda, Badda, Dhaka",,,182 sqft,Shop,For Rent,23 June 2023,https://www.bproperty.com//en/property/details-5275956.html
"A 73 Sq Ft Commercial Shop Is Available For Rent Which Is Located In 39 No. South Halishahar Ward, Halishahar",6.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,73 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737080.html
"200 Sq Ft Commercial Shop Is Up For Rent At Bayazid, Raufabad Residential Area",15 Thousand,"Bayazid, Chattogram",,,200 sqft,Shop,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-5097969.html
"80 Square Feet Commercial Shop Is Up For Rent In Uttara, Sector 3",22 Thousand,"Sector 3, Uttara, Dhaka",,,80 sqft,Shop,For Rent,4 September 2023,https://www.bproperty.com//en/property/details-5269229.html
"107 Sq Ft Commercial Shop Waiting To Be Rented In 39 No. South Halishahar Ward, Halishahar",9.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,107 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737077.html
This Vacant Commercial Shop Of 115 Sq Ft Situated In Halishahar Is Up For Rent,10.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,115 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737079.html
"Grab This 96 Sq Ft Shop Area For Rent At 39 No. South Halishahar Ward, Bandartila",8.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,96 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737075.html
Grab This 100 Sq Ft Shop For Rent At 39 No. South Halishahar Ward,8 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,100 sqft,Shop,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-4737090.html
"Deal With This 100 Sq Ft Shop For Rent At 39 No. South Halishahar Ward, Bandartila",8 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,100 sqft,Shop,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-4737091.html
"For Your Well-done Business An Commercial Shop Of 86 Sq Ft Is Ready For Rent In 39 No. South Halishahar Ward, Halishahar",7.7 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,86 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737081.html
Start Your Business In This 116 Sq Ft Commercial Shop For Rent In 39 No. South Halishahar Ward,10.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,116 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737078.html
Visit This 194 Sq Ft Shop Area For Rent At Bandartila,15.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,194 sqft,Shop,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-4737093.html
75 Sq Ft Shop Area For Rent At 39 No. South Halishahar Ward,6 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,75 sqft,Shop,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-4737089.html
Checkout This 106 Sq Ft Shop Area For Rent At 39 No. South Halishahar Ward,8.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,106 sqft,Shop,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-4737092.html
Let Us Show You This 2000 Square Feet Commercial Space Available For Rent At Uttara-sector 9,2.5 Lakh,"Sector 9, Uttara, Dhaka",,,"2,000 sqft",Shop,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-5585355.html
At Green Road A 357 Square Feet Shop Is For Rent,39.27 Thousand,"Farmgate, Tejgaon, Dhaka",,,357 sqft,Shop,For Rent,16 March 2022,https://www.bproperty.com//en/property/details-5168170.html
102 Sq Ft Shop For Rent At 39 No. South Halishahar Ward,9 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,102 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737076.html
A 650 Square Feet Shop Space Is For Rent At Green Road.,65 Thousand,"Farmgate, Tejgaon, Dhaka",,,650 sqft,Shop,For Rent,11 July 2021,https://www.bproperty.com//en/property/details-4021271.html
Checkout This 2000 Square Feet Commercial Shop Available For Rent In Uttara-9,2.5 Lakh,"Sector 9, Uttara, Dhaka",,,"2,000 sqft",Shop,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-5585352.html
"Invest In This 1258 Sq Ft Shop Space By Renting It In Bayazid, Shahid Nagar",60 Thousand,"Shahid Nagar, Bayazid, Chattogram",,,"1,258 sqft",Shop,For Rent,27 March 2023,https://www.bproperty.com//en/property/details-4326176.html
Evaluate This 64 Square Feet Shop Space For Rent At Tejgaon,45 Thousand,"Tejgaon, Dhaka",,,64 sqft,Shop,For Rent,4 August 2022,https://www.bproperty.com//en/property/details-5191839.html
Deal With This 2000 Square Feet Commercial Space Available For Rent At Uttara-sector 9,2.5 Lakh,"Sector 9, Uttara, Dhaka",,,"2,000 sqft",Shop,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-5585354.html
Expand Your Business By Renting This 105 Sq Ft Shop In Halishahar,9.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,105 sqft,Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-4737085.html
400 Sq Ft Quality Based Shop Is Up For Rent In Uttara-13,1 Lakh,"Sector 13, Uttara, Dhaka",,,400 sqft,Shop,For Rent,25 March 2022,https://www.bproperty.com//en/property/details-3841029.html
View This 143 Sq Ft Shop For Rent At Halishahar,12.8 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,143 sqft,Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-4737086.html
A 347 Square Feet Shop Is For Rent At Green Road.,38.17 Thousand,"Farmgate, Tejgaon, Dhaka",,,347 sqft,Shop,For Rent,2 March 2021,https://www.bproperty.com//en/property/details-5168171.html
1395 Square Feet Large Commercial Shop Is For Rent At Panthapath .,3.2 Lakh,"Tejturi Bazar, Tejgaon, Dhaka",,,"1,395 sqft",Shop,For Rent,1 September 2020,https://www.bproperty.com//en/property/details-2055798.html
Check This Readily Available 700 Sq Ft Shop Space Up For Rent In 16 No. Chawk Bazaar Ward .,45 Thousand,"16 No. Chawk Bazaar Ward, Chattogram",,,700 sqft,Shop,For Rent,19 April 2022,https://www.bproperty.com//en/property/details-5483102.html
"Adjacent To Mirpur Adhunik Hospital And Diagnostic Center, Commercial Shop Is Up For Rent In Mirpur 12.",16 Thousand,"Block D, Section 12, Mirpur, Dhaka",,,120 sqft,Shop,For Rent,15 December 2022,https://www.bproperty.com//en/property/details-5063073.html
"This Commercial Shop Of 400 Sq Ft Is Located In Sonargaon Janapath, Sector 13 And Is Up For Rent",1.2 Lakh,"Sector 13, Uttara, Dhaka",,,400 sqft,Shop,For Rent,16 August 2022,https://www.bproperty.com//en/property/details-5214196.html
"At Savar, 200 Sq Ft Well Fitted Shop Is ready To Rent",10 Thousand,"Block A, Bank Colony, Savar, Dhaka",,,200 sqft,Shop,For Rent,6 October 2020,https://www.bproperty.com//en/property/details-2077917.html
"A Cozy Shop Of 60 Sq Ft Is For Rent At Laboratory Road, Newmarket",12 Thousand,"New Market, Dhaka",,,60 sqft,Shop,For Rent,21 June 2022,https://www.bproperty.com//en/property/details-5422211.html
220 Sq Ft Shop Is Now Available For Rent In Golap R/a,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,220 sqft,Shop,For Rent,27 April 2023,https://www.bproperty.com//en/property/details-5518098.html
"At Kathalbagan, 151 Sq Ft Well Fitted Shop Is ready To Rent",40 Thousand,"Tejturi Bazar, Tejgaon, Dhaka",,,151 sqft,Shop,For Rent,27 July 2021,https://www.bproperty.com//en/property/details-2034480.html
308 Sq Ft Commercial Shop Waiting To Be Rented In 22 No. Enayet Bazaar Ward,50 Thousand,"22 No. Enayet Bazaar Ward, Chattogram",,,308 sqft,Shop,For Rent,13 June 2023,https://www.bproperty.com//en/property/details-5582884.html
"5000 Sq Ft Shop Space For Rent In Savar, Radio Colony",2 Lakh,"Radio Colony, Savar, Dhaka",,,"5,000 sqft",Shop,For Rent,18 May 2023,https://www.bproperty.com//en/property/details-5576049.html
Grab This 104 Sq Ft Shop Space For Rent At 39 No. South Halishahar Ward,9.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,104 sqft,Shop,For Rent,12 June 2023,https://www.bproperty.com//en/property/details-4737074.html
"150 Sq Ft Shop Space Is For Rent In Mirpur, Section 1, Shah Ali Bag",10 Thousand,"Shah Ali Bag, Section 1, Mirpur, Dhaka",,,150 sqft,Shop,For Rent,9 May 2022,https://www.bproperty.com//en/property/details-5488652.html
698 Square Feet Commercial Shop Area Is Up For Rent In Uttara-7,1.29 Lakh,"Sector 7, Uttara, Dhaka",,,698 sqft,Shop,For Rent,9 September 2022,https://www.bproperty.com//en/property/details-5519256.html
"1500 Sq Ft Commercial Shop Waiting To Be Rented In Rankin Street, Sutrapur",1.2 Lakh,"Wari, Sutrapur, Dhaka",,,"1,500 sqft",Shop,For Rent,16 May 2023,https://www.bproperty.com//en/property/details-3722765.html
4300 Sq Ft Large Shop For Rent In Dagormora,1.5 Lakh,"Dagormora, Savar, Dhaka",,,"4,300 sqft",Shop,For Rent,14 October 2020,https://www.bproperty.com//en/property/details-2080825.html
"127 Sq Ft Commercial Shop Waiting To Be Rented In Section 6, Mirpur",20 Thousand,"Block C, Section 6, Mirpur, Dhaka",,,127 sqft,Shop,For Rent,21 June 2023,https://www.bproperty.com//en/property/details-3829753.html
"320 Sq Ft Commercial Space Is Up For Rent In Mirpur, Section 15, Block D",25 Thousand,"Block D, Section 15, Mirpur, Dhaka",,,320 sqft,Shop,For Rent,6 June 2023,https://www.bproperty.com//en/property/details-5444106.html
Take A Look At This 114 Sq Ft Shop For Rent At 39 No. South Halishahar Ward,10.2 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,114 sqft,Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-4737083.html
A Shop Of 250 Sq Ft With Numerous Opportunities Is For Rent In Gulshan-2,1.5 Lakh,"Gulshan 2, Gulshan, Dhaka",,,250 sqft,Shop,For Rent,17 April 2022,https://www.bproperty.com//en/property/details-5389040.html
"Get This 95 Sq Ft Shop For Rent At Bandartila, Halishahar",8.5 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,95 sqft,Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-4737084.html
"A Nice Shop For Rent At Azimpur, Lalbagh",22 Thousand,"Azimpur, Lalbagh, Dhaka",,,250 sqft,Shop,For Rent,20 June 2023,https://www.bproperty.com//en/property/details-5584379.html
153 Sq Ft Modest Shop For Rent At 39 No. South Halishahar Ward,13.7 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,153 sqft,Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-4737088.html
"Invest In This 144 Sq Ft Shop For Rent At 39 No. South Halishahar Ward, Bandartila",13 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,144 sqft,Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-4737087.html
This 500 Square Feet Shop Space For Rent Beside To Garden Road Jame Mosque At Karwan Bazar,45 Thousand,"Karwan Bazar, Tejgaon, Dhaka",,,500 sqft,Shop,For Rent,20 May 2022,https://www.bproperty.com//en/property/details-5406948.html
"Fully Fitted Commercial Shop Of 1200 Sq Ft Is Ready To Rent In Section 12, Mirpur",1 Lakh,"Block E, Section 12, Mirpur, Dhaka",,,"1,200 sqft",Shop,For Rent,23 June 2023,https://www.bproperty.com//en/property/details-5584727.html
118 Sq Ft Commercial Shop For Rent At 39 No. South Halishahar Ward,10.6 Thousand,"Bandartila, 39 No. South Halishahar Ward, Halishahar, Chattogram",,,118 sqft,Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-4737082.html
Check This Commercial Shop In Nabinagar For Rent.,15 Thousand,"Ashulia, Savar, Dhaka",,,436 sqft,Shop,For Rent,3 February 2022,https://www.bproperty.com//en/property/details-4608005.html
A Modest 2000 Square Feet Commercial Shop Is Available For Rent At Uttara-9,2.5 Lakh,"Sector 9, Uttara, Dhaka",,,"2,000 sqft",Shop,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-5585353.html
Shop Space Up For Rent In Uttara Nearby Uttara University,30 Thousand,"Sector 7, Uttara, Dhaka",,,132 sqft,Shop,For Rent,31 January 2022,https://www.bproperty.com//en/property/details-1986865.html
"We are presenting this 100 sq ft Commercial Shop for rent which is located in Baluchara, Chattogram",10 Thousand,"Bayazid, Chattogram",,,100 sqft,Shop,For Rent,12 March 2023,https://www.bproperty.com//en/property/details-5056142.html
Select This 1600 Sq Ft Commercial Space For Rent In Nikunja 2,2 Lakh,"Nikunja 2, Nikunja, Dhaka",,,"1,600 sqft",Shop,For Rent,26 June 2023,https://www.bproperty.com//en/property/details-3607477.html
See This Vacant Commercial Space Up For Rent In Polytechnic Near Chattogram Polytechnic Institute,30 Thousand,"Bayazid, Chattogram",,,"2,000 sqft",Shop,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1995469.html
Lucrative Business Space Up For Rent In Banani Near To Banani Kacha Bazar,2.5 Lakh,"Banani, Dhaka",,,720 sqft,Shop,For Rent,22 September 2021,https://www.bproperty.com//en/property/details-1925691.html
"900 Square feet shop for rent in Banasree, Block E",80 Thousand,"Block E, Banasree, Dhaka",,,900 sqft,Shop,For Rent,2 May 2023,https://www.bproperty.com//en/property/details-5570794.html
Shop for Rent in Banasree nearby Banasree Bazar,15 Thousand,"Block K, South Banasree Project, Banasree, Dhaka",,,250 sqft,Shop,For Rent,3 May 2023,https://www.bproperty.com//en/property/details-1943483.html
"An Excellent Commercial Shop Is Vacant Right Now For Rental Purpose At Tajmahal Road, Which Is 2400 Sq Ft",2.5 Lakh,"Tajmahal Road, Mohammadpur, Dhaka",,,"2,400 sqft",Shop,For Rent,15 May 2023,https://www.bproperty.com//en/property/details-5536237.html
"191 Sq Ft Shop Arena For Rent In Motijheel, Naya Paltan",35 Thousand,"Naya Paltan, Motijheel, Dhaka",,,191 sqft,Shop,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-5204721.html
"An Amazing Commercial Area Of 200 Sq Ft Is Up For Rent In Mohammadpur, Nurjahan Road",60 Thousand,"Mohammadpur, Dhaka",,,200 sqft,Shop,For Rent,26 October 2021,https://www.bproperty.com//en/property/details-4910867.html
"150 Square Feet Shop Area Is For Rent In Mohammadpur, Tajmahal Road",18 Thousand,"Tajmahal Road, Mohammadpur, Dhaka",,,150 sqft,Shop,For Rent,5 March 2023,https://www.bproperty.com//en/property/details-5340050.html
1027 Square Feet Commercial Shop Space Is For Rent At Hatir Jheel Link Road.,2.46 Lakh,"Tejgaon, Dhaka",,,"1,027 sqft",Shop,For Rent,19 July 2020,https://www.bproperty.com//en/property/details-2034277.html
"150 Sq Ft Commercial Shop For Rent In Zakir Hossain Road, Khulshi.",25 Thousand,"Khulshi, Chattogram",,,150 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-4264106.html
"Prominent Location And Splendid Outlook, This 2000 Sq. ft. Shop Space Is Up For Rent In New Baily Road Near To Shiddeshwari Girls' High School",3 Lakh,"Shiddheswari, Dhaka",,,"2,000 sqft",Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-1823310.html
"Use This 400 Sq Ft Rental Property As Your Shop Located At Bandartila, 38 No. South Middle Halishahar",15 Thousand,"Bandartila, 38 No. South Middle Halishahar, Halishahar, Chattogram",,,400 sqft,Shop,For Rent,7 November 2021,https://www.bproperty.com//en/property/details-4110152.html
"Near Milk Vita Road, Mirpur- 7, A 313 Sq Ft Commercial Shop Is Up For Rent",35 Thousand,"Section 7, Mirpur, Dhaka",,,313 sqft,Shop,For Rent,26 October 2021,https://www.bproperty.com//en/property/details-5387428.html
A 1000 Square Feet Commercial Shop For Rent At Kemal Ataturk Avenue.,2.5 Lakh,"Banani, Dhaka",,,"1,000 sqft",Shop,For Rent,7 February 2023,https://www.bproperty.com//en/property/details-4989529.html
70 Sq Ft Shop Is Available To Rent In New Market,18 Thousand,"New Market, Dhaka",,,70 sqft,Shop,For Rent,29 January 2023,https://www.bproperty.com//en/property/details-4176942.html
"A 80 Sq Ft Ready Commercial Shop Is Here For Rent At Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,18 June 2023,https://www.bproperty.com//en/property/details-5581680.html
This Vacant Commercial Shop Of 80 Sq Ft Situated In Mirpur 12 Is Up For Rent,10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,18 June 2023,https://www.bproperty.com//en/property/details-5581679.html
328 Sq Ft shop Is Available to Rent in Sutrapur,40 Thousand,"Luxmibazar, Sutrapur, Dhaka",,,328 sqft,Shop,For Rent,27 November 2021,https://www.bproperty.com//en/property/details-5418197.html
"80 Sq Ft Commercial Shop For Rent In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,15 July 2023,https://www.bproperty.com//en/property/details-5581683.html
"A 80 Sq Ft Ready Commercial Shop Is Here For Rent At Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,15 July 2023,https://www.bproperty.com//en/property/details-5581682.html
"Offering You A 80 Sq Ft Nice Commercial Shop For Rent In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,15 July 2023,https://www.bproperty.com//en/property/details-5581684.html
"Acquire This 127 Sq Ft Shop Which Is Up For Rent In Abdul Ali Nagar, 9 No. North Pahartali Ward",12 Thousand,"Noapara, 9 No. North Pahartali Ward, Chattogram",,,127 sqft,Shop,For Rent,13 December 2022,https://www.bproperty.com//en/property/details-5391382.html
"Start Your Business In This 80 Sq Ft Commercial Shop Rent In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,18 June 2023,https://www.bproperty.com//en/property/details-5581677.html
"600 Square Feet Of Shop Space For Rent In The Flourishing Area Of Tejgaon, Tejkunipara",50 Thousand,"Tejkunipara, Tejgaon, Dhaka",,,600 sqft,Shop,For Rent,11 July 2023,https://www.bproperty.com//en/property/details-5455496.html
"This Vacant Commercial Shop Of 80 Sq Ft Situated In Section 12, Mirpur, Is Up For Rent",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,15 July 2023,https://www.bproperty.com//en/property/details-5581685.html
80 Sq Ft Shop Is Available To Rent In Kathalbagan,15 Thousand,"Kathalbagan, Dhaka",,,80 sqft,Shop,For Rent,16 March 2023,https://www.bproperty.com//en/property/details-5554888.html
"For You 80 Sq Ft Commercial Shop Is Now For Rent In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,15 July 2023,https://www.bproperty.com//en/property/details-5581686.html
"Offering You A 400 Sq Ft Commercial Shop For Rent In Section 11, Mirpur",14 Thousand,"Block F, Section 11, Mirpur, Dhaka",,,400 sqft,Shop,For Rent,13 August 2023,https://www.bproperty.com//en/property/details-5593962.html
"127 Square Feet Commercial Shop For Rent At Noapara, 9 No. North Pahartali Ward",12 Thousand,"Noapara, 9 No. North Pahartali Ward, Chattogram",,,127 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5391442.html
"A Nice Small Shop For Rent At Crescent Road, Kathalbagan, Dhaka.",15 Thousand,"Kathalbagan, Dhaka",,,80 sqft,Shop,For Rent,16 March 2023,https://www.bproperty.com//en/property/details-5554889.html
600 Sq Ft Shop Is Now Up For Rent In Bosila,30 Thousand,"Bosila, Mohammadpur, Dhaka",,,600 sqft,Shop,For Rent,29 December 2020,https://www.bproperty.com//en/property/details-4432060.html
View This 2000 Sq Ft Commercial Space For Rent In Nikunja 2,1 Lakh,"Nikunja 2, Nikunja, Dhaka",,,"2,000 sqft",Shop,For Rent,29 January 2023,https://www.bproperty.com//en/property/details-5547696.html
"This 700 Sq Ft Commercial Shop Is Up For Rent At East Nasirabad, Cda Avenue",2 Lakh,"East Nasirabad, Chattogram",,,700 sqft,Shop,For Rent,14 August 2023,https://www.bproperty.com//en/property/details-5595011.html
450 Sq Ft Shop For Rent In Mirpur-10,60 Thousand,"Senpara Parbata, Section 10, Mirpur, Dhaka",,,450 sqft,Shop,For Rent,12 February 2023,https://www.bproperty.com//en/property/details-4386413.html
400 Sq Ft Commercial Shop is For Rent In Mirpur-2,70 Thousand,"Block Cha, Section 2, Mirpur, Dhaka",,,400 sqft,Shop,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-5601536.html
A Shop Area Is For Rent In New Market Nearby Dbbl,60 Thousand,"New Market, Dhaka",,,200 sqft,Shop,For Rent,19 March 2023,https://www.bproperty.com//en/property/details-1932908.html
View This 400 Sq Ft Shop Up For Rent In Mirpur-2,70 Thousand,"Block Cha, Section 2, Mirpur, Dhaka",,,400 sqft,Shop,For Rent,12 September 2023,https://www.bproperty.com//en/property/details-5601537.html
"1300 Sq Ft Shop Area With Great Commercial Facilities For Rent In Section 7, Mirpur",1 Lakh,"Section 7, Mirpur, Dhaka",,,"1,300 sqft",Shop,For Rent,27 March 2023,https://www.bproperty.com//en/property/details-4182627.html
"1400 Sq Ft Commercial Shop With Exclusive Fittings, Is For Rent In Hatirpool",2.8 Lakh,"Hatirpool, Dhaka",,,"1,400 sqft",Shop,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-5107876.html
125 Sq Ft Fine Shop Space Is For Rent In Mirpur-7,16 Thousand,"Section 7, Mirpur, Dhaka",,,125 sqft,Shop,For Rent,6 September 2022,https://www.bproperty.com//en/property/details-3509279.html
250 Sq Ft Shop Is Available To Rent In 7 No. West Sholoshohor Ward,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,250 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5518090.html
title,price,location,room,bath,size,type,purpose,updated,link
"At Gulshan-1, 4600 Sq Ft Well Fitted Office Is Ready To Rent",8.28 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"4,600 sqft",Floor,For Rent,2 January 2022,https://www.bproperty.com//en/property/details-2034711.html
"A Commercial Space Is Available For Rent In Malibagh, Nearby Standard Bank Limited",2.1 Lakh,"Malibagh, Dhaka",,,"3,500 sqft",Floor,For Rent,10 January 2022,https://www.bproperty.com//en/property/details-1988759.html
"Use This 6545 Sq Ft Rental Property as Your Office, Located At Gulshan",9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,15 September 2022,https://www.bproperty.com//en/property/details-5518290.html
1590 Sq Ft Luxurious Commercial Office Is Available To Rent At Lal Khan Bazaar,3.18 Lakh,"Lal Khan Bazaar, Chattogram",,,"1,590 sqft",Floor,For Rent,18 January 2021,https://www.bproperty.com//en/property/details-5056194.html
"Make This 6545 Sq Ft Rental Office Your Business Location, Which Is Located In Gulshan",9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,15 September 2022,https://www.bproperty.com//en/property/details-5518288.html
"This 10,000 Sq Ft Commercial Space Will Be A Great Option For You To Boost Up Your Business At Uttara",5 Lakh,"Uttara, Dhaka",,,"10,000 sqft",Floor,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-5561592.html
A 2400 Square Feet Modern And Large Commercial Floor For Rent At Panthapath,1 Lakh,"Panthapath, Kathalbagan, Dhaka",,,"2,400 sqft",Floor,For Rent,29 August 2021,https://www.bproperty.com//en/property/details-3846449.html
6545 Sq Ft Office Is Available To Rent in Gulshan,9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,16 February 2023,https://www.bproperty.com//en/property/details-5518286.html
3050 Sq Ft Commercial Floor For Rent In Uttara Sector 13 Near Gausul Azam Jame Masjid,3.05 Lakh,"Sector 13, Uttara, Dhaka",,,"3,050 sqft",Floor,For Rent,16 March 2023,https://www.bproperty.com//en/property/details-1908906.html
"Available For Rent In Mirpur Sec- 10, A 11000 Sq Ft Lucrative Office Space",3.85 Lakh,"Block D, Section 10, Mirpur, Dhaka",,,"11,000 sqft",Floor,For Rent,20 January 2021,https://www.bproperty.com//en/property/details-5068911.html
"A Structurally Well Set Commercial Space Of 2000 Sq Ft For Rent Is Available In Uttara Sector 14, Near Tarif Restaurant & Briyani House",4 Lakh,"Sector 14, Uttara, Dhaka",,,"2,000 sqft",Floor,For Rent,23 February 2022,https://www.bproperty.com//en/property/details-1780344.html
Take Rent This 6545 Sq Ft Ample Office In Gulshan 1,16.36 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,16 February 2023,https://www.bproperty.com//en/property/details-5518283.html
Deal With Your Business in 6545 Sq Ft Office with a Convenient price To Rent in Gulshan,9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,19 February 2023,https://www.bproperty.com//en/property/details-5518287.html
6545 Sq Ft Office Is Available To Rent in Gulshan 1,9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,15 September 2022,https://www.bproperty.com//en/property/details-5518289.html
Masterful And Very Ample Commercial Space Is Vacant For Rent In West Khulshi R/a Near To National Polytechnic College,90.72 Thousand,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",,,"2,160 sqft",Floor,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1988862.html
"4835 SQ FT Ready Commercial Space For Rent In Gulshan 1, near Gulshan 1 DCC Market",7.25 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"4,835 sqft",Floor,For Rent,19 September 2021,https://www.bproperty.com//en/property/details-1876181.html
"For Your Well-done Business An Commercial Space Of 10,000 Sq Ft Is Ready For Rent In Uttara",5 Lakh,"Uttara, Dhaka",,,"10,000 sqft",Floor,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-5561595.html
We Are Presenting This 4200 Sq Ft Commercial Floor For Rent Which Is Located In East Rampura,6.72 Lakh,"East Rampura, Rampura, Dhaka",,,"4,200 sqft",Floor,For Rent,22 March 2023,https://www.bproperty.com//en/property/details-5560836.html
This Admirable 3370 Sq Ft Commercial Space Is For Rent At Bosila With A Very Low Price.,2.36 Lakh,"Bosila, Mohammadpur, Dhaka",,,"3,370 sqft",Floor,For Rent,22 February 2021,https://www.bproperty.com//en/property/details-5140483.html
